pattern
ZARA
MANGO
H[ &]*M
PULL[ &]*BEAR
BERSHKA
STRADIVARIUS
MASSIMO[ ]*DUTTI
C[ ]*&[ ]*A
UNIQLO
GAP
BENETTON
ESPRIT
TOMMY[ ]*HILFIGER
RALPH[ ]*LAUREN
CALVIN[ ]*KLEIN
LACOSTE
LEVI'?S
DIESEL
GUESS
REPLAY
PROMOD
PIMKIE
CAMAIEU
ETAM
NAF[ ]*NAF
MORGAN
CACHE[ ]*CACHE
GRAIN[ ]*DE[ ]*MALICE
LA[ ]*HALLE
KIABI
GEMO
BOUCHARA
DAMART
BIZZBEE
MIM
CAROLL
ARMAND[ ]*THIERY
CELIO
JULES
BRICE
DEVRED
KAPORAL
EDEN[ ]*PARK
FACONNABLE
HUGO[ ]*BOSS
DPAM
OKAIDI
JACADI
IKKS
PETIT[ ]*BATEAU
CYRILLUS
ORCHESTRA
VERTBAUDET
TAPE[ ]*A[ ]*L
DECATHLON
GO[ ]*SPORT
INTERSPORT
NIKE
ADIDAS
PUMA
REEBOK
FOOT[ ]*LOCKER
COURIR
SPORT[ ]*2000
NEW[ ]*BALANCE
UNDER[ ]*ARMOUR
SALOMON
ASICS
TIMBERLAND
GALERIES[ ]*LAFAYETTE
PRINTEMPS
BHV
BON[ ]*MARCHE
MONOPRIX
AUCHAN
CARREFOUR
LECLERC
ZADIG[ ]*[ &]*VOLTAIRE
SANDRO
MAJE
CLAUDIE[ ]*PIERLOT
COMPTOIR[ ]*DES[ ]*COTONNIERS
DARJEELING
ORCANTA
INTIMISSIMI
OYSHO
UNDIZ
TEZENIS
HERMES
CHANEL
DIOR
LOUIS[ ]*VUITTON
PRADA
GUCCI
FENDI
BURBERRY
VERSACE
BALENCIAGA
LONGCHAMP
SUPERDRY
JACK[ ]*&[ ]*JONES
ONLY
VERO[ ]*MODA
PROMOSTAR
CACHAREL
APC
SEZANE
LE[ ]*TANNEUR
ARMOR[ ]*LUX
SAINT[ ]*JAMES
CALZEDONIA
SERGENT[ ]*MAJOR
KOOKAI
GERARD[ ]*DAREL
COMPTOIR[ ]*GENERAL
COURT[ ]*CIRCUIT
SUD[ ]*EXPRESS
TARA[ ]*JARMON
